Community Area,Community Name,Latitude,Longitude,Monthly,Number of Crimes
1,ROGERS PARK,42.012808340999996,-87.67070518950001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2498
2,WEST RIDGE,41.99770396,-87.6933420645,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2322
3,UPTOWN,41.965996614,-87.655984213,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2519
4,LINCOLN SQUARE,41.9723251715,-87.68898789650001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1302
5,NORTH CENTER,41.947454191,-87.681682541,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",925
6,LAKE VIEW,41.942249453,-87.65252653599998,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",4310
7,LINCOLN PARK,41.922897215999996,-87.64852889299999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",3753
8,NEAR NORTH SIDE,41.896543094,-87.629210442,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",9488
9,EDISON PARK,42.004173492,-87.81418329499999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",154
10,NORWOOD PARK,41.982897045499996,-87.79880310499999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",746
11,JEFFERSON PARK,41.974640133,-87.768014257,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",723
12,FOREST GLEN,41.991705161,-87.74933693099999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",334
13,NORTH PARK,41.983966194000004,-87.71417383100001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",674
14,ALBANY PARK,41.967489258499995,-87.717077694,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1660
15,PORTAGE PARK,41.953347206,-87.760029568,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2139
16,IRVING PARK,41.953874276,-87.7227269335,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1942
17,DUNNING,41.9448297475,-87.8008735125,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",962
18,MONTCLARE,41.9296154875,-87.7967208975,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",388
19,BELMONT CRAGIN,41.926287021,-87.7654689275,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2804
20,HERMOSA,41.923109586,-87.73498318700001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",881
21,AVONDALE,41.93791173,-87.71374950299999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1640
22,LOGAN SQUARE,41.923096645,-87.700379148,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",3454
23,HUMBOLDT PARK,41.899926832,-87.720348395,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",4373
24,WEST TOWN,41.903083471,-87.676296929,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",5301
25,AUSTIN,41.891017228,-87.756987955,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",9129
26,WEST GARFIELD PARK,41.877933574,-87.72694381299999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",3042
27,EAST GARFIELD PARK,41.877427678000004,-87.706110174,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",3063
28,NEAR WEST SIDE,41.8775942615,-87.65796237100001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",6812
29,NORTH LAWNDALE,41.861740823000005,-87.71665907299999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",4930
30,SOUTH LAWNDALE,41.845072013,-87.711374772,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2906
31,LOWER WEST SIDE,41.854809036,-87.669658337,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1615
32,LOOP,41.882381731,-87.62784179100001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",8022
33,NEAR SOUTH SIDE,41.858579571,-87.624141504,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1199
34,ARMOUR SQUARE,41.843639873,-87.632948692,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",744
35,DOUGLAS,41.832329279,-87.619756522,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1915
36,OAKLAND,41.824849878,-87.60634964200001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",399
37,FULLER PARK,41.802858762,-87.63200688200001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",559
38,GRAND BOULEVARD,41.81108622,-87.61804542799999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2151
39,KENWOOD,41.809297059,-87.599830413,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",992
40,WASHINGTON PARK,41.792206818000004,-87.62054686,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1789
41,HYDE PARK,41.798008886999995,-87.589726864,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1289
42,WOODLAWN,41.77830276,-87.605758495,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2183
43,SOUTH SHORE,41.761727593,-87.575005169,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",5675
44,CHATHAM,41.743970068,-87.610062219,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",4391
45,AVALON PARK,41.7449727275,-87.5870639705,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",750
46,SOUTH CHICAGO,41.743758645,-87.55547567,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2703
47,BURNSIDE,41.726848030999996,-87.597296088,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",229
48,CALUMET HEIGHTS,41.729306217,-87.576730736,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",889
49,ROSELAND,41.702992124,-87.62409676700001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",4199
50,PULLMAN,41.703788679,-87.600944364,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",793
51,SOUTH DEERING,41.714597905,-87.568831746,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1191
52,EAST SIDE,41.704010116999996,-87.535933163,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",697
53,WEST PULLMAN,41.6771602435,-87.6340638115,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2376
54,RIVERDALE,41.655807045,-87.6048116,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",872
55,HEGEWISCH,41.65451662,-87.54473527100001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",403
56,GARFIELD RIDGE,41.7965894215,-87.7504740045,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1150
57,ARCHER HEIGHTS,41.8069379375,-87.72620583,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",540
58,BRIGHTON PARK,41.8156171695,-87.6958650915,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1400
59,MCKINLEY PARK,41.829933759,-87.67436899100001,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",624
60,BRIDGEPORT,41.837626186499996,-87.646398276,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",940
61,NEW CITY,41.80595314,-87.66500942299999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2783
62,WEST ELSDON,41.7931325,-87.723350952,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",668
63,GAGE PARK,41.794809604,-87.697495878,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1308
64,CLEARING,41.777853019,-87.76718868399999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",557
65,WEST LAWN,41.772569979000004,-87.725130922,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1233
66,CHICAGO LAWN,41.775011935,-87.691034955,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",3825
67,WEST ENGLEWOOD,41.776783904,-87.664290466,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",4458
68,ENGLEWOOD,41.777070635,-87.6448723625,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",3848
69,GREATER GRAND CROSSING,41.762314472,-87.61853822399999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",4063
70,ASHBURN,41.74750318,-87.707850421,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1485
71,AUBURN GRESHAM,41.749106414500005,-87.65492915799999,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",4652
72,BEVERLY,41.709471781999994,-87.6737466525,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",542
73,WASHINGTON HEIGHTS,41.721223746999996,-87.650676277,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",2065
74,MOUNT GREENWOOD,41.692693699,-87.707071711,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",307
75,MORGAN PARK,41.690383529,-87.662497935,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1365
76,OHARE,41.976762981,-87.900983721,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",986
77,EDGEWATER,41.986107061999995,-87.659944667,"[13336, 11025, 13259, 13462, 16022, 15929, 16517, 16686, 15320, 14899, 13282, 14213]",1952
